,name,vicinity,Latitude,Longitude,name,rating,types,business_status
0,Duxton Hotel Perth,"1 Saint Georges Terrace, Perth",-31.957937199999996,115.86470790000001,Duxton Hotel Perth,4.3,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
1,My Place Bar & Restaurant,"70 Pier Street, Perth",-31.95445,115.86288,My Place Bar & Restaurant,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
2,The Melbourne Hotel,"33 Milligan Street, Perth",-31.951561699999996,115.85134129999999,The Melbourne Hotel,4.3,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
3,Sentinel Bar & Grill,"111 Saint Georges Terrace, Perth",-31.954837,115.85622020000001,Sentinel Bar & Grill,4.3,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",
4,The Murray Hotel,"718 Murray Street, West Perth",-31.946134999999998,115.839425,The Murray Hotel,3.9,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
5,The George,"216 Saint Georges Terrace, Perth",-31.95316669999999,115.85255559999999,The George,4.0,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",
6,Andaluz Bar & Tapas,"21 Howard Street, Perth",-31.955498,115.85721699999999,Andaluz Bar & Tapas,4.4,"[""bar"",""meal_takeaway"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
7,The Garden,"742 Newcastle Street, Leederville",-31.937309000000003,115.8419,The Garden,4.1,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
8,The Royal on the Waterfront,"60 Royal Street, East Perth",-31.952669799999992,115.8779147,The Royal on the Waterfront,4.1,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
9,Gramercy Bar And Kitchen,"Central Park, 10/777 Hay Street, Perth",-31.9534211,115.8561186,Gramercy Bar And Kitchen,4.0,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
10,The Stables,"888 Hay Street, Perth",-31.9521999,115.85312649999999,The Stables,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
11,Black Tom's,"27 Ord Street, West Perth",-31.95073,115.840726,Black Tom's,4.0,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",
12,The Old Swan Barracks Backpacker Hostel Perth,"2-8 Francis Street, Perth",-31.94889169999999,115.86225559999998,The Old Swan Barracks Backpacker Hostel Perth,3.5,"[""lodging"",""bar"",""point_of_interest"",""establishment""]",
13,Brass Monkey Hotel,"James Street, Northbridge",-31.948818,115.859226,Brass Monkey Hotel,3.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
14,Universal Bar,"221 William Street, Perth",-31.948611100000004,115.85944440000002,Universal Bar,4.0,"[""bar"",""point_of_interest"",""establishment""]",
15,Friends Restaurant,"Cloisters, 200 Saint Georges Terrace, Perth",-31.953193100000004,115.85318659999999,Friends Restaurant,4.7,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
16,The Court,"50 Beaufort Street, Perth",-31.9502778,115.8625,The Court,4.0,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
17,The Brisbane Hotel,"292 Beaufort Street, Perth",-31.9439841,115.8662925,The Brisbane Hotel,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
18,The Lucky Shag,"Ferry Route Barrack St Jetty, Riverside Drive, Perth",-31.959613899999997,115.85886440000002,The Lucky Shag,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
19,Tiger Lil's,"437 Murray Street, Perth",-31.951064399999996,115.85280690000002,Tiger Lil's,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
20,The Grosvenor Hotel,"339 Hay Street, Perth",-31.9575,115.86833329999999,The Grosvenor Hotel,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
21,The Queens,"520 Beaufort Street, Highgate",-31.9381962,115.8699798,The Queens,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
22,The Vic,"226 Hay Street, Subiaco",-31.946987100000005,115.83082579999999,The Vic,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
23,Arirang Korean BBQ Restaurant,"91-93 Barrack Street, Perth",-31.9537989,115.86057269999999,Arirang Korean BBQ Restaurant,3.9,"[""grocery_or_supermarket"",""meal_takeaway"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
24,Geisha Bar,"135A James Street, Northbridge",-31.948176500000002,115.8571473,Geisha Bar,4.2,"[""bar"",""night_club"",""point_of_interest"",""establishment""]",
25,Hit Studio Karaoke,"64 Francis Street, Northbridge",-31.9473669,115.85880379999999,Hit Studio Karaoke,3.7,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",
26,Belgian Beer Cafe,"Cnr King St &, Murray Street, Perth",-31.951931400000003,115.8553336,Belgian Beer Cafe,4.2,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
27,Duende,"662 Newcastle Street, Leederville",-31.937572399999997,115.8424114,Duende,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
28,Lalla Rookh,"77 Saint Georges Terrace, Perth",-31.9555,115.8583336,Lalla Rookh,4.1,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
29,Crema Cafe,"1204 Hay Street, West Perth",-31.94867899999999,115.84260800000001,Crema Cafe,4.2,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
30,The Moon,"Shop 2/323 William Street, Northbridge",-31.945978000000004,115.8611007,The Moon,4.5,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
31,Hula Bula Bar,"12 Victoria Avenue, Perth",-31.956941600000004,115.8658981,Hula Bula Bar,4.4,"[""bar"",""point_of_interest"",""establishment""]",
32,Subiaco Hotel,"465 Hay Street, Subiaco",-31.947233100000002,115.8241936,Subiaco Hotel,3.8,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
33,Paramount Nightclub,"163 James Street, Northbridge",-31.947774100000004,115.8559873,Paramount Nightclub,2.6,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",
34,Metro Bar and Bistro,"33 Mounts Bay Road, Perth",-31.95541690000001,115.8524094,Metro Bar and Bistro,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
35,Outback Jacks Northbridge - Australian Steak House,"124 James Street, Northbridge",-31.9481267,115.85757050000001,Outback Jacks Northbridge - Australian Steak House,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
36,Fibber McGee's,"711 Newcastle Street, Leederville",-31.9376411,115.8417358,Fibber McGee's,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
37,The Aberdeen Hotel,"90 Aberdeen Street, Northbridge",-31.9464442,115.85933899999999,The Aberdeen Hotel,3.8,"[""bar"",""point_of_interest"",""establishment""]",
38,Ezra Pound,"189 William Street, Northbridge",-31.9492537,115.8590467,Ezra Pound,4.5,"[""bar"",""point_of_interest"",""establishment""]",
39,Perth's Famous Wine Cruise,"3 Barrack Street, Perth",-31.95657280000001,115.8590564,Perth's Famous Wine Cruise,4.7,"[""bar"",""point_of_interest"",""establishment""]",
40,Mayfair Lane Pub & Dining Room,"72 Outram Street, West Perth",-31.9474455,115.8403318,Mayfair Lane Pub & Dining Room,4.3,"[""meal_takeaway"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
41,The Bird,"181 William Street, Northbridge",-31.9496292,115.8587993,The Bird,4.6,"[""bar"",""point_of_interest"",""establishment""]",
42,Bivouac Canteen & Bar,"198 William Street, Perth",-31.949429,115.859307,Bivouac Canteen & Bar,4.7,"[""restaurant"",""meal_takeaway"",""bar"",""food"",""point_of_interest"",""establishment""]",
43,Hyde Park Hotel,"331 Bulwer Street, West Perth",-31.938193,115.85704270000001,Hyde Park Hotel,4.0,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
44,The Ellington Jazz Club,"191 Beaufort Street, Perth",-31.9466589,115.86428909999998,The Ellington Jazz Club,4.6,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",
45,Rosemount Hotel,"459 Fitzgerald Street, North Perth",-31.9308913,115.8590028,Rosemount Hotel,4.3,"[""bar"",""point_of_interest"",""establishment""]",
46,Bistro Felix,"118-120 Rokeby Road, Subiaco",-31.94833299999999,115.824272,Bistro Felix,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
47,Oxford Hotel,"368 Oxford Street, Leederville",-31.925423,115.841573,Oxford Hotel,4.3,"[""bar"",""point_of_interest"",""establishment""]",
48,Mustang Bar,"46 Lake Street, Northbridge",-31.947313300000005,115.8572922,Mustang Bar,4.1,"[""bar"",""point_of_interest"",""establishment""]",
49,The Cabin Small Bar,"Upstairs, 174 Scarborough Beach Road, Mount Hawthorn",-31.920784600000008,115.8379483,The Cabin Small Bar,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
50,Liquor Store Association,"Centrepoint Tower, 25/123B Colin Street, West Perth",-31.94558079999999,115.8425527,Liquor Store Association,,"[""bar"",""liquor_store"",""point_of_interest"",""store"",""establishment""]",
51,43 Below Bar & Restaurant,"43 Barrack Street, Perth",-31.954723699999995,115.86006680000001,43 Below Bar & Restaurant,4.1,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",
52,Niche Bar,"7/663 Newcastle Street, Leederville",-31.9384003,115.84179089999999,Niche Bar,3.9,"[""bar"",""point_of_interest"",""establishment""]",
53,Varsity Northbridge,"94 Aberdeen Street, Northbridge",-31.946244300000004,115.85877649999999,Varsity Northbridge,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
54,Must Winebar,"519 Beaufort Street, Highgate",-31.938051899999998,115.8697429,Must Winebar,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
55,Kuditj,"201 Beaufort Street, Perth",-31.9463728,115.8642975,Kuditj,5.0,"[""bar"",""food"",""point_of_interest"",""establishment""]",
56,Cafe Crown,"85 Stirling Street, Perth",-31.949841600000003,115.86374779999998,Cafe Crown,4.3,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
57,Jack Rabbit Slim's,"133 Aberdeen Street, Perth",-31.9456468,115.8567375,Jack Rabbit Slim's,3.7,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",
58,Holey Moley Golf Club Northbridge,"53 Lake Street, Northbridge",-31.946609999999996,115.8573,Holey Moley Golf Club Northbridge,4.4,"[""bar"",""point_of_interest"",""establishment""]",
59,Midori Teppanyaki and Bar,"27 Lake Street, Northbridge",-31.9476333,115.85668059999999,Midori Teppanyaki and Bar,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
0,Delhi 'O' Delhi,"3 Erskineville Road, Newtown",-33.89728770000001,151.1806204,Delhi 'O' Delhi,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
1,Bloodwood Restaurant & Bar,"416 King Street, Newtown",-33.90006799999999,151.17820700000001,Bloodwood Restaurant & Bar,4.4,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
2,Palace Norton Street,"99 Norton Street, Leichhardt",-33.884906799999996,151.1573964,Palace Norton Street,4.5,"[""movie_theater"",""cafe"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
3,Websters Bar,"323 King Street, Newtown",-33.89698819999999,151.1790595,Websters Bar,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
4,The Vic On The Park,"2 Addison Road, Marrickville",-33.904175099999996,151.16819919999998,The Vic On The Park,4.3,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
5,The Henson,"91 Illawarra Road, Marrickville",-33.905157200000005,151.1613261,The Henson,4.4,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
6,The Bank,"324 King Street, Newtown",-33.89748649999999,151.1792614,The Bank,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
7,Courthouse Hotel,"202 Australia Street, Newtown",-33.89608610000001,151.1782361,Courthouse Hotel,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
8,Camelot Lounge,"Marrickville Rd & Railway Parade, 103 Marrickville Road, Marrickville",-33.914882399999996,151.1644596,Camelot Lounge,4.6,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
9,CHiLLi PiP - Custom made lounges in Sydney.,"135 Victoria Road, Marrickville",-33.9065092,151.1646601,CHiLLi PiP - Custom made lounges in Sydney.,4.9,"[""night_club"",""furniture_store"",""home_goods_store"",""bar"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
10,The Duke of Enmore,"148 Enmore Road, Enmore",-33.89896549999999,151.1734927,The Duke of Enmore,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",CLOSED_TEMPORARILY
11,Hartsyard,"33 Enmore Road, Newtown",-33.898258500000004,151.17685500000002,Hartsyard,4.3,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
12,Royal Exchange Hotel,"203 Marrickville Road, Marrickville",-33.9110541,151.157835,Royal Exchange Hotel,3.8,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
13,Andiamo Trattoria Summer Hill,"29 Lackey Street, Summer Hill",-33.8914841,151.1380252,Andiamo Trattoria Summer Hill,4.3,"[""meal_delivery"",""meal_takeaway"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
14,Nortons On Norton,"393 Parramatta Road, Leichhardt",-33.88808030000001,151.1577501,Nortons On Norton,2.6,"[""bar"",""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
15,Arabella Lebanese Restaurant,"12/489-491 King Street, Newtown",-33.90232049999999,151.1788454,Arabella Lebanese Restaurant,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
16,Union Hotel,"576 King Street, Newtown",-33.9040152,151.1802934,Union Hotel,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
17,Town Hall Hotel,"326 King Street, Newtown",-33.8980603,151.17870190000002,Town Hall Hotel,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
18,Botany View Hotel,"597 King Street, Newtown",-33.90586159999999,151.1808877,Botany View Hotel,3.9,"[""bar"",""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
19,Rowers On Cooks River,"1 Levey Street, Wolli Creek",-33.9331807,151.1585446,Rowers On Cooks River,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
20,Hurlstone Park Hotel,"590 New Canterbury Road, Hurlstone Park",-33.905316799999994,151.13293810000002,Hurlstone Park Hotel,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
21,Portugal Madeira Club,"1 Denby Street, Marrickville",-33.903694200000004,151.1657638,Portugal Madeira Club,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
22,Marrickville Ritz Hotel,"252-254 Illawarra Road, Marrickville",-33.911105,151.155503,Marrickville Ritz Hotel,4.0,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
23,Bucket Boys Craft Beer Co,"Ground Floor/300 Illawarra Road, Marrickville",-33.912155600000006,151.1544361,Bucket Boys Craft Beer Co,4.4,"[""liquor_store"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
24,Titus Jones,"337 Illawarra Road, Marrickville",-33.9125233,151.15435219999998,Titus Jones,4.7,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
25,Gasoline Pony,"115 Marrickville Road, Marrickville",-33.912422,151.16083700000001,Gasoline Pony,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
26,The Sausage Factory,"380 New Canterbury Road, Dulwich Hill",-33.9028898,151.14364019999996,The Sausage Factory,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
27,White Cockatoo Hotel,"30 Terminus Street, Petersham",-33.893302899999995,151.15571809999997,White Cockatoo Hotel,4.3,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
28,MANIAX Axe Throwing - SYDNEY,"2/01/75 Mary Street, St Peters",-33.91305560000001,151.1725,MANIAX Axe Throwing - SYDNEY,4.8,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
29,Riverview Pinup Pub Tempe,"900 Princes Highway, Tempe",-33.926328600000005,151.1592735,Riverview Pinup Pub Tempe,3.3,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
30,Town & Country Hotel,"2 Unwins Bridge Road, St Peters",-33.9103278,151.1757139,Town & Country Hotel,4.2,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
